date,start_time,game_url,team1,spread1,odds_spread1,total1,odds_total1,moneyline1,team2,spread2,odds_spread2,total2,odds_total2,moneyline2
MON DEC 8TH,6:15PM,https://sportsbook.draftkings.com/event/det-lions-%40-phi-eagles/32225670?category=odds&subcategory=popular,PHI Eagles,-2.5,−110,45.5,−110,−130,LA Chargers,+2.5,−110,45.5,−110,+110
THU DEC 11TH,6:15PM,https://sportsbook.draftkings.com/event/dal-cowboys-%40-lv-raiders/32225763?category=odds&subcategory=popular,ATL Falcons,+5.5,−108,47.5,−110,+185,TB Buccaneers,-5.5,−112,47.5,−110,−225
SUN DEC 14TH,11:00AM,https://sportsbook.draftkings.com/event/buf-bills-%40-hou-texans/32225621?category=odds&subcategory=popular,LV Raiders,+10.5,−110,44.5,−110,+370,PHI Eagles,-10.5,−110,44.5,−110,−485
SUN DEC 14TH,11:00AM,https://sportsbook.draftkings.com/event/was-commanders-%40-ny-giants/32225705?category=odds&subcategory=popular,WAS Commanders,-4.5,−110,45.5,−110,−198,NY Giants,+4.5,−110,45.5,−110,+164
SUN DEC 14TH,11:00AM,https://sportsbook.draftkings.com/event/bal-ravens-%40-cin-bengals/32225527?category=odds&subcategory=popular,BAL Ravens,-2.5,−110,49.5,−110,−130,CIN Bengals,+2.5,−110,49.5,−110,+110
SUN DEC 14TH,11:00AM,https://sportsbook.draftkings.com/event/ari-cardinals-%40-hou-texans/32225627?category=odds&subcategory=popular,ARI Cardinals,+2.5,−115,45.5,−110,+110,HOU Texans,-2.5,−105,45.5,−110,−130
SUN DEC 14TH,11:00AM,https://sportsbook.draftkings.com/event/la-chargers-%40-kc-chiefs/32225686?category=odds&subcategory=popular,LA Chargers,+4.5,−110,45.5,−110,+160,KC Chiefs,-4.5,−110,45.5,−110,−192
SUN DEC 14TH,11:00AM,https://sportsbook.draftkings.com/event/buf-bills-%40-ne-patriots/32225742?category=odds&subcategory=popular,BUF Bills,-4.5,−110,46.5,−110,−198,NE Patriots,+4.5,−110,46.5,−110,+164
SUN DEC 14TH,11:00AM,https://sportsbook.draftkings.com/event/cle-browns-%40-chi-bears/32225517?category=odds&subcategory=popular,CLE Browns,+7,−110,42.5,−110,+240,CHI Bears,-7,−110,42.5,−110,−298
SUN DEC 14TH,11:00AM,https://sportsbook.draftkings.com/event/ny-jets-%40-jax-jaguars/32225659?category=odds&subcategory=popular,NY Jets,+4.5,−110,43.5,−110,+164,JAX Jaguars,-4.5,−110,43.5,−110,−198
SUN DEC 14TH,2:25PM,https://sportsbook.draftkings.com/event/ten-titans-%40-sf-49ers/32225613?category=odds&subcategory=popular,TEN Titans,+7.5,−110,45.5,−110,+260,SF 49ers,-7.5,−110,45.5,−110,−325
SUN DEC 14TH,2:25PM,https://sportsbook.draftkings.com/event/car-panthers-%40-no-saints/32225727?category=odds&subcategory=popular,CAR Panthers,-1.5,−108,43.5,−110,−122,NO Saints,+1.5,−112,43.5,−110,+102
SUN DEC 14TH,2:25PM,https://sportsbook.draftkings.com/event/gb-packers-%40-den-broncos/32225574?category=odds&subcategory=popular,GB Packers,+1.5,−110,44.5,−110,+102,DEN Broncos,-1.5,−110,44.5,−110,−122
SUN DEC 14TH,2:25PM,https://sportsbook.draftkings.com/event/ind-colts-%40-sea-seahawks/32225631?category=odds&subcategory=popular,IND Colts,+3.5,−110,44.5,−110,+145,SEA Seahawks,-3.5,−110,44.5,−110,−175
SUN DEC 14TH,2:25PM,https://sportsbook.draftkings.com/event/det-lions-%40-la-rams/32225734?category=odds&subcategory=popular,DET Lions,-1.5,−105,48.5,−110,−118,LA Rams,+1.5,−115,48.5,−110,−102
SUN DEC 14TH,6:20PM,https://sportsbook.draftkings.com/event/min-vikings-%40-dal-cowboys/32225548?category=odds&subcategory=popular,MIN Vikings,-1.5,−105,45.5,−110,−120,DAL Cowboys,+1.5,−115,45.5,−110,+100
MON DEC 15TH,6:15PM,https://sportsbook.draftkings.com/event/sea-seahawks-%40-ten-titans/32225598?category=odds&subcategory=popular,MIA Dolphins,+2.5,−110,44.5,−110,+110,PIT Steelers,-2.5,−110,44.5,−110,−130
THU DEC 18TH,6:15PM,https://sportsbook.draftkings.com/event/tb-buccaneers-%40-la-rams/32225737?category=odds&subcategory=popular,LA Rams,-1.5,−110,44.5,−110,−120,SEA Seahawks,+1.5,−110,44.5,−110,+100
FRI DEC 19TH,11:00AM,https://sportsbook.draftkings.com/event/car-panthers-%40-sf-49ers/32225617?category=odds&subcategory=popular,GB Packers,-1.5,−110,45.5,−110,−120,CHI Bears,+1.5,−110,45.5,−110,+100
SAT DEC 20TH,1:00PM,https://sportsbook.draftkings.com/event/gb-packers-%40-det-lions/32225581?category=odds&subcategory=popular,PHI Eagles,-1.5,−110,47.5,−105,−122,WAS Commanders,+1.5,−110,47.5,−115,+102
SUN DEC 21ST,11:00AM,https://sportsbook.draftkings.com/event/cin-bengals-%40-bal-ravens/32225478?category=odds&subcategory=popular,KC Chiefs,-7,−120,44.5,−110,−298,TEN Titans,+7,+100,44.5,−110,+240
SUN DEC 21ST,11:00AM,https://sportsbook.draftkings.com/event/chi-bears-%40-phi-eagles/32225671?category=odds&subcategory=popular,MIN Vikings,-2.5,−110,42.5,−110,−130,NY Giants,+2.5,−110,42.5,−110,+110
SUN DEC 21ST,11:00AM,https://sportsbook.draftkings.com/event/ny-jets-%40-no-saints/32225718?category=odds&subcategory=popular,NY Jets,+1.5,−110,41.5,−110,+102,NO Saints,-1.5,−110,41.5,−110,−122
