Season,Week,Player,Position,Team,Opponent,Pass_Comp,Pass_Att,Pass_Yards,Pass_TD,Pass_Int,Rush_Att,Rush_Yards,Rush_TD,Rec_Targets,Rec_Recep,Rec_Yards,Rec_TD,Snapcount
2024,1,Tim Patrick,WR,DET,VS LAR,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Tom Kennedy,WR,DET,VS LAR,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Andrew Beck,TE,GB,@ PHI,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Ben Sims,TE,GB,@ PHI,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Bo Melton,WR,GB,@ PHI,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Chris Brooks,RB,GB,@ PHI,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Christian Watson,WR,GB,@ PHI,0,0,0,0,0,0,0,0,0,3,13,1,0
2024,1,Dontayvion Wicks,WR,GB,@ PHI,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Emanuel Wilson,RB,GB,@ PHI,0,0,0,0,0,4,46,0,0,2,2,0,0
2024,1,Jayden Reed,WR,GB,@ PHI,0,0,0,0,0,1,33,1,0,4,138,1,0
2024,1,John FitzPatrick,TE,GB,@ PHI,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Jordan Love,QB,GB,@ PHI,0,0,260,2,1,0,0,0,0,0,0,0,0
2024,1,Josh Jacobs,RB,GB,@ PHI,0,0,0,0,0,16,84,0,0,2,20,0,0
2024,1,Luke Musgrave,TE,GB,@ PHI,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Malik Heath,WR,GB,@ PHI,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Malik Willis,QB,GB,@ PHI,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,MarShawn Lloyd,RB,GB,@ PHI,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Romeo Doubs,WR,GB,@ PHI,0,0,0,0,0,0,0,0,0,4,50,0,0
2024,1,Tucker Kraft,TE,GB,@ PHI,0,0,0,0,0,0,0,0,0,2,37,0,0
2024,1,Andrew Beck,TE,HOU,@ IND,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Brevin Jordan,TE,HOU,@ IND,0,0,0,0,0,0,0,0,0,1,3,0,0
2024,1,British Brooks,RB,HOU,@ IND,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,CJ Stroud,QB,HOU,@ IND,0,0,234,2,0,4,13,0,0,0,0,0,0
2024,1,Cade Stover,TE,HOU,@ IND,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Cam Akers,RB,HOU,@ IND,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Dalton Schultz,TE,HOU,@ IND,0,0,0,0,0,0,0,0,0,3,16,0,0
2024,1,Dameon Pierce,RB,HOU,@ IND,0,0,0,0,0,3,16,0,0,0,0,0,0
2024,1,Dare Ogunbowale,RB,HOU,@ IND,0,0,0,0,0,0,0,0,0,1,3,0,0
2024,1,Davis Mills,QB,HOU,@ IND,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Diontae Johnson,WR,HOU,@ IND,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Irv Smith,TE,HOU,@ IND,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,JJ Taylor,RB,HOU,@ IND,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Jared Wayne,WR,HOU,@ IND,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Joe Mixon,RB,HOU,@ IND,0,0,0,0,0,30,159,1,0,3,19,0,0
2024,1,John Metchie III,WR,HOU,@ IND,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Nico Collins,WR,HOU,@ IND,0,0,0,0,0,0,0,0,0,6,117,0,0
2024,1,Robert Woods,WR,HOU,@ IND,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Stefon Diggs,WR,HOU,@ IND,0,0,0,0,0,1,6,0,0,6,33,2,0
2024,1,Steven Sims Jr,WR,HOU,@ IND,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Tank Dell,WR,HOU,@ IND,0,0,0,0,0,2,19,0,0,3,40,0,0
2024,1,Teagan Quitoriano,TE,HOU,@ IND,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Troy Hairston,RB,HOU,@ IND,0,0,0,0,0,0,0,0,0,0,0,0,0
